сервер,id,название,тема,семейство,шагов,оцениваемых,курсы,флаги,создан
tech2,1723,2026 Нейрохирургия 141. Диффузная глиома ствола мозга (DIPG),Нейрохирургический клинический сценарий. Case 64. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1722,2026 Нейрохирургия 140. Грыжа грудного межпозвонкового диска,Нейрохирургический клинический сценарий. Case 53. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1721,2026 Нейрохирургия 139. Флексионно-дистракционный перелом (Chance) L1,Нейрохирургический клинический сценарий. Case 46. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1720,2026 Нейрохирургия 138. Перелом палача (травматический спондилолистез C2),Нейрохирургический клинический сценарий. Case 44. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1719,2026 Нейрохирургия 137. Перелом зубовидного отростка C2 (тип II),Нейрохирургический клинический сценарий. Case 43. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1718,2026 Нейрохирургия 136. Нормотензивная гидроцефалия,Нейрохирургический клинический сценарий. Case 36. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1717,2026 Нейрохирургия 135. Абсцесс головного мозга,Нейрохирургический клинический сценарий. Case 33. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1716,2026 Нейрохирургия 134. Анапластическая олигодендроглиома,Нейрохирургический клинический сценарий. Case 27. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1715,2026 Нейрохирургия 133. Краниофарингиома,Нейрохирургический клинический сценарий. Case 25. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1714,2026 Нейрохирургия 132. Кистозная гемангиобластома мозжечка,Нейрохирургический клинический сценарий. Case 21. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1713,2026 Нейрохирургия 131. Кровоизлияние в мозжечок,Нейрохирургический клинический сценарий. Case 14. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1712,2026 Нейрохирургия 130. Гипертензивное кровоизлияние в таламус,Нейрохирургический клинический сценарий. Case 13. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1711,2026 Нейрохирургия 129. Спинальная дуральная артериовенозная фистула,Нейрохирургический клинический сценарий. Case 8. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1710,2026 Нейрохирургия 128. Спинальная артериовенозная мальформация грудного отдела,Нейрохирургический клинический сценарий. Case 6. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1709,2026 Нейрохирургия 127. Фузиформная аневризма интрадуральной части внутренней сонной артерии,Нейрохирургический клинический сценарий. Case 5. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02
tech2,1708,2026 Нейрохирургия 107. Вестибулярная шваннома,Нейрохирургический клинический сценарий. Case 19. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-06-01
tech2,1707,[archived] 1707,,Прочее,23,23,,"выключен, архив",2026-06-01
tech2,1705,2026 Нейрохирургия 126. Мальформация Киари I,Нейрохирургический клинический сценарий. Case 34. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1704,2026 Нейрохирургия 125. Идиопатическая внутричерепная гипертензия,Нейрохирургический клинический сценарий. Case 79. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1703,2026 Нейрохирургия 124. Мезиальный височный склероз,Нейрохирургический клинический сценарий. Case 76. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1702,2026 Нейрохирургия 123. Болезнь Паркинсона и глубокая стимуляция мозга,Нейрохирургический клинический сценарий. Case 74. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1701,2026 Нейрохирургия 122. Невралгия тройничного нерва,Нейрохирургический клинический сценарий. Case 72. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1700,2026 Нейрохирургия 121. Метастатическое поражение позвоночника,Нейрохирургический клинический сценарий. Case 55. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1699,2026 Нейрохирургия 120. Эпидуральный абсцесс позвоночника,Нейрохирургический клинический сценарий. Case 54. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1698,2026 Нейрохирургия 119. Парамедианная грыжа диска L4–L5 с компрессией корешка L4,Нейрохирургический клинический сценарий. Case 52. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1697,2026 Нейрохирургия 118. Синдром конского хвоста,Нейрохирургический клинический сценарий. Case 51. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1696,2026 Нейрохирургия 117. Шейная спондилотическая миелопатия,Нейрохирургический клинический сценарий. Case 50. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1695,2026 Нейрохирургия 116. Взрывной перелом L1 с ретропульсией,Нейрохирургический клинический сценарий. Case 45. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1694,2026 Нейрохирургия 115. Подвывих шейного отдела позвоночника с компрессией спинного мозга,Нейрохирургический клинический сценарий. Case 42. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1693,2026 Нейрохирургия 114. Проникающее огнестрельное ранение головы,Нейрохирургический клинический сценарий. Case 38. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1692,2026 Нейрохирургия 113. Хроническая субдуральная гематома,Нейрохирургический клинический сценарий. Case 41. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1691,2026 Нейрохирургия 112. Эпидуральная гематома,Нейрохирургический клинический сценарий. Case 40. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1690,2026 Нейрохирургия 111. Метастазы в головной мозг,Нейрохирургический клинический сценарий. Case 31. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1689,2026 Нейрохирургия 110. Глиобластома,Нейрохирургический клинический сценарий. Case 26. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1688,2026 Нейрохирургия 109. Апоплексия гипофиза,Нейрохирургический клинический сценарий. Case 22. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1687,2026 Нейрохирургия 108. Менингиома крыла основной кости,Нейрохирургический клинический сценарий. Case 20. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1686,[archived] 107 v1,,Прочее,7,7,,"выключен, архив",2026-05-31
tech2,1685,2026 Нейрохирургия 106. Геморрагический инсульт доминантного полушария,Нейрохирургический клинический сценарий. Case 12. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1684,2026 Нейрохирургия 105. Твёрдомозговая артериовенозная фистула,Нейрохирургический клинический сценарий. Case 7. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1683,2026 Нейрохирургия 104. Неразорвавшаяся аневризма передней соединительной артерии,Нейрохирургический клинический сценарий. Case 4. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1682,2026 Нейрохирургия 103. Разрыв аневризмы средней мозговой артерии,Нейрохирургический клинический сценарий. Case 3. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1681,2026 Нейрохирургия 102. Кавернозная мальформация головного мозга,Нейрохирургический клинический сценарий. Case 2. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1680,2026 Нейрохирургия 101. АВМ головного мозга,"Клинический сценарий: АВМ головного мозга у мужчины 35 лет с дебютом парциальных судорог. Диагностика, классификация по Spetzler-Martin, хирургическое лечение. Источник: 100 Case Reviews in Neurosurgery, Case 1.",Нейрохирургия,23,23,22,публичный,2026-05-31
tech2,1679,2026 Нейрохирургия 101. АВМ головного мозга copy,"Клинический сценарий: АВМ головного мозга у мужчины 35 лет с дебютом парциальных судорог. Диагностика, классификация по Spetzler-Martin, хирургическое лечение. Источник: 100 Case Reviews in Neurosurgery, Case 1.",Нейрохирургия,23,23,,"копия, публичный",2026-05-31
tech2,1678,ХГБН с лекарственным абузусом copy,Клинический сценарий: хроническая головная боль напряжения с лекарственным абузусом (ЛИГБ).,Неврология — головная боль,19,19,,"копия, публичный",2026-05-30
tech2,1677,ГБН эпизодическая copy,"Клинический сценарий: эпизодическая головная боль напряжения. Модуль 1, сценарий 4.",Неврология — головная боль,19,19,,"копия, публичный",2026-05-30
tech2,1676,Вторичная ГБ красные флаги copy,"Клинический сценарий: вторичная головная боль, «красные флаги». Модуль 1, сценарий 6.",Прочее,23,23,,"копия, публичный",2026-05-30
tech2,1675,Менструальная мигрень copy,Модуль 1. Головная боль. Клинический сценарий 3. Менструальная мигрень.,Прочее,19,19,,"копия, публичный",2026-05-30
tech2,1674,scenario_menstrual_migraine_NEW.json copy,,Прочее,0,0,,"копия, публичный",2026-05-30
tech2,1669,Менструальная мигрень 1 copy,Менструальная мигрень,Прочее,19,19,,"копия, публичный",2026-05-29
tech2,1668,2026 Неврология Вторичная ГБ — красные флаги copy,Клинический сценарий: мужчина 52 лет с внезапной громоподобной головной болью. Распознавание «сигналов опасности» вторичной ГБ и тактика при субарахноидальном кровоизлиянии.,Неврология — головная боль,25,25,,"копия, публичный",2026-05-29
tech2,1667,2026 Неврология САК красные флаги copy,Клинический сценарий по теме вторичная головная боль. Мужчина 52 лет с громоподобной головной болью в приёмном покое.,Неврология — головная боль,25,25,,"копия, публичный",2026-05-29
tech2,1666,2026 Неврология Вторичная ГБ красные флаги copy (2),,Неврология — головная боль,23,23,,"копия, публичный",2026-05-29
tech2,1663,2026 Неврология Вторичная ГБ красные флаги copy (1),,Неврология — головная боль,22,22,,"копия, публичный",2026-05-28
tech2,1661,2026 Неврология Вторичная ГБ красные флаги copy,"Мужчина 52 лет доставлен в приёмный покой с громоподобной головной болью и менингеальными симптомами. Необходимо распознать «красные флаги», назначить правильное обследование и определить тактику экстренной помощи.",Неврология — головная боль,24,24,,"копия, публичный",2026-05-28
tech2,1659,2026 Мигрень с аурой Copy copy,2026 Мигрень с аурой: дифференциальный диагноз с ТИА,Неврология — головная боль,27,27,,"копия, публичный",2026-05-28
tech2,1658,2026 Мигрень без ауры,2026 Мигрень без ауры: впервые обратилась,Неврология — головная боль,20,20,,публичный,2026-05-28
tech2,1652,2026 Задание 69 Copy,2026 Липиды 7,Кардио-задания 2026,27,27,,"копия, публичный",2026-05-27
tech2,1651,2026 ГБН абузус Copy copy,2026 Хроническая ГБН с лекарственным абузусом,Неврология — головная боль,28,28,,"копия, публичный",2026-05-27
tech2,1648,2026 Задание 69,2026 Липиды 7,Кардио-задания 2026,27,27,20,публичный,2026-05-26
tech2,1647,2026 Задание 68,2026 Липиды 6,Кардио-задания 2026,27,27,20,публичный,2026-05-26
tech2,1646,2026 Задание 70,2026 Липиды 8,Кардио-задания 2026,27,27,20,публичный,2026-05-26
tech2,1412,Чеклист психоречевого развития (ЦПРИН) 2026-05-20 15:24,Чеклист психоречевого развития (ЦПРИН),Прочее,192,192,,публичный,2026-05-20
tech2,708,2026 Задание 67,2026 ХСН 6,Кардио-задания 2026,27,27,20,публичный,2026-03-28
tech2,707,2026 Задание 66,2026 ХСН 5,Кардио-задания 2026,27,27,20,публичный,2026-03-27
tech2,706,2026 Задание 65,2026 ХСН 4,Кардио-задания 2026,27,27,20,публичный,2026-03-27
tech2,705,2026 Задание 64,2026 ХСН 3,Кардио-задания 2026,27,27,20,публичный,2026-03-26
tech2,704,2026 Задание 63,2026 ХСН 2,Кардио-задания 2026,27,27,20,публичный,2026-03-26
tech2,703,2026 Задание 62,2026 ХСН 1,Кардио-задания 2026,27,27,20,публичный,2026-03-26
tech2,655,2026 Задание 61,2026 ФП 8,Кардио-задания 2026,21,21,20,публичный,2026-03-19
tech2,654,2026 Задание 60,2026 ФП 7,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,653,2026 Задание 59,2026 ФП 6,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,652,2026 Задание 58,2026 ФП 5,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,651,2026 Задание 57,2026 ФП 4,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,650,2026 Задание 56,2026 ФП 3,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,649,2026 Задание 55,2026 ФП 2,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,648,2026 Задание 54,2026 ФП 1,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,647,2026 Задание 53,2026 НЖТ 5,Кардио-задания 2026,29,29,20,публичный,2026-03-19
tech2,646,2026 Задание 52,2026 НЖТ 4,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,645,2026 Задание 51,2026 НЖТ 3,Кардио-задания 2026,20,20,20,публичный,2026-03-19
tech2,644,2026 Задание 50,2026 НЖТ 2,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,643,2026 Задание 49,2026 НЖТ 1,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,642,2026 Задание 47,2026 ИМпST 7,Кардио-задания 2026,25,25,20,публичный,2026-03-19
tech2,641,2026 Задание 46,2026 ИМпST 6,Кардио-задания 2026,25,25,20,публичный,2026-03-19
tech2,640,2026 Задание 45,2026 ИМпST 5,Кардио-задания 2026,25,25,20,публичный,2026-03-19
tech2,639,2026 Задание 44,2026 ИМпST 4,Кардио-задания 2026,25,25,20,публичный,2026-03-19
tech2,638,2026 Задание 43,2026 ИМпST 3,Кардио-задания 2026,25,25,20,публичный,2026-03-19
tech2,637,2026 Задание 42,2026 ИМпST 2,Кардио-задания 2026,25,25,20,публичный,2026-03-19
tech2,636,2026 Задание 41,2026 ИМпST 1,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,628,2026 Задание 40,2026 ИМБОКА 7,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,627,2026 Задание 39,2026 ОКСбпST 6,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,626,2026 Задание 38,2026 ОКСбпST 5,Кардио-задания 2026,25,25,20,публичный,2026-03-19
tech2,625,2026 Задание 37,2026 ОКСбпST 4,Кардио-задания 2026,25,25,20,публичный,2026-03-19
tech2,624,2026 Задание 36,2026 ОКСбпST 3,Кардио-задания 2026,25,25,20,публичный,2026-03-19
tech2,623,2026 Задание 35,2026 ОКСбпST 2,Кардио-задания 2026,25,25,20,публичный,2026-03-19
tech2,622,2026 Задание 34,2026 ОКСбпST 1,Кардио-задания 2026,25,25,20,публичный,2026-03-19
tech2,621,2026 Задание 33,2026 ИБС 5,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,620,2026 Задание 32,2026 ИБС 4,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,619,2026 Задание  31,2026 ИБС 3,Кардио-задания 2026,27,27,20,публичный,2026-03-19
tech2,607,2026 Задание 30,2026 ИБС 2,Кардио-задания 2026,27,27,20,публичный,2026-03-10
tech2,606,2026 Задание 29,2026 ИБС 1,Кардио-задания 2026,27,27,20,публичный,2026-03-10
tech2,590,2026 Задание 28,2026 ЖА 7,Кардио-задания 2026,27,27,20,публичный,2026-03-09
tech2,589,2026 Задание 27,2026 ЖА 6,Кардио-задания 2026,27,27,20,публичный,2026-03-09
tech2,588,2026 Задание 26,2026 ЖА 5,Кардио-задания 2026,27,27,20,публичный,2026-03-09
tech2,587,2026 Задание 25,2026 ЖА 1,Кардио-задания 2026,27,27,20,публичный,2026-03-09
tech2,585,2026 Задание 24,2026 ЖА 4,Кардио-задания 2026,27,27,20,публичный,2026-03-09
tech2,584,2026 Задание 23,2026 ЖА 3,Кардио-задания 2026,24,24,20,публичный,2026-03-09
tech2,582,2026 Задание 22,2026 ЖА 2,Кардио-задания 2026,27,27,20,публичный,2026-03-09
tech2,580,2026 Задание 21,2026 Липиды 5,Кардио-задания 2026,27,27,20,публичный,2026-03-08
tech2,579,2026 Задание 20,2026 Липиды 4,Кардио-задания 2026,27,27,20,публичный,2026-03-08
tech2,578,2026 Задание 19,2026 Липиды 3,Кардио-задания 2026,27,27,20,публичный,2026-03-08
tech2,577,2026 Задание 18,2026 Липиды 2,Кардио-задания 2026,27,27,20,публичный,2026-03-08
tech2,575,2026 Задание 17,2026 Липиды 1,Кардио-задания 2026,27,27,20,публичный,2026-03-08
tech2,574,2026 Задание 16,2026 Бради 6,Кардио-задания 2026,27,27,20,публичный,2026-03-08
tech2,573,2026 Задание 15,2026 Бради 5,Кардио-задания 2026,27,27,20,публичный,2026-03-08
tech2,572,2026 Задание 14,2026 Бради 4,Кардио-задания 2026,27,27,20,публичный,2026-03-08
tech2,571,2026 Задание 13,2026 Бради 3,Кардио-задания 2026,27,27,20,публичный,2026-03-08
tech2,570,2026 Задание 12,2026 Бради 2,Кардио-задания 2026,27,27,20,публичный,2026-03-08
tech2,569,2026 Задание 11,2026 Бради 1,Кардио-задания 2026,27,27,20,публичный,2026-03-08
tech2,568,2026 Задание 10,2026 АГ 10,Кардио-задания 2026,27,27,20,публичный,2026-03-06
tech2,567,2026 Задание 9,2026 АГ 9,Кардио-задания 2026,27,27,20,публичный,2026-03-06
tech2,566,2026 Задание 8,2026 АГ 8,Кардио-задания 2026,27,27,20,публичный,2026-03-06
tech2,565,2026 Задание 7,2026 АГ 7,Кардио-задания 2026,27,27,20,публичный,2026-03-06
tech2,564,2026 Задание 6,2026 АГ 6,Кардио-задания 2026,27,27,20,публичный,2026-03-06
tech2,562,2026 Задание 5,2026 АГ 5,Кардио-задания 2026,27,27,20,публичный,2026-03-06
tech2,560,2026 Задание 4,2026 АГ 4,Кардио-задания 2026,27,27,20,публичный,2026-03-06
tech2,559,2026 Задание 3,2026 АГ 3,Кардио-задания 2026,25,25,20,публичный,2026-03-06
