сервер,id,название,тема,семейство,шагов,оцениваемых,курсы,флаги,создан,сюжет,проверяется,верно
tech2,1723,2026 Нейрохирургия 141. Диффузная глиома ствола мозга (DIPG),Нейрохирургический клинический сценарий. Case 64. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,"Мальчик 9 лет обратился с нарастающими в течение 2 месяцев двоением в глазах и атаксией, лёгким гемипарезом. Цель сценария — провести дифференциальную диагности",Лабораторные исследования; Инструментальные исследования,"Диффузная глиома ствола мозга (диффузная глиома моста, DIPG); Общий анализ крови; Биохимический анализ крови; Коагулограмма (подготовка к возможной биопсии)"
tech2,1722,2026 Нейрохирургия 140. Грыжа грудного межпозвонкового диска,Нейрохирургический клинический сценарий. Case 53. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,Мужчина 48 лет обратился с хронической болью в межлопаточной области и нарастающей слабостью и онемением в ногах. Цель сценария — провести дифференциальную диаг,Лабораторные исследования; Инструментальные исследования,Грыжа грудного межпозвонкового диска с компрессией спинного мозга; Общий анализ крови; Биохимический анализ крови (BMP); Коагулограмма (ПВ/МНО/АЧТВ)
tech2,1721,2026 Нейрохирургия 139. Флексионно-дистракционный перелом (Chance) L1,Нейрохирургический клинический сценарий. Case 46. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,Женщина 33 лет доставлена после ДТП (была пристёгнута ремнём) с болью в грудопоясничном переходе и слабостью в ногах. Цель сценария — провести диагностику травм,Лабораторные исследования; Инструментальные исследования,Флексионно-дистракционный (Chance) перелом L1; Общий анализ крови; Коагулограмма (подготовка к операции); Биохимический анализ крови
tech2,1720,2026 Нейрохирургия 138. Перелом палача (травматический спондилолистез C2),Нейрохирургический клинический сценарий. Case 44. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,"Мужчина 27 лет доставлен после ДТП (пассажир без ремня, удар затылком) с болью в шее без неврологического дефицита. Цель сценария — провести диагностику травмы ",Лабораторные исследования; Инструментальные исследования,Перелом палача (травматический спондилолистез C2); Общий анализ крови; Коагулограмма (подготовка к возможной операции); Биохимический анализ крови
tech2,1719,2026 Нейрохирургия 137. Перелом зубовидного отростка C2 (тип II),Нейрохирургический клинический сценарий. Case 43. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,Мужчина 55 лет доставлен после ДТП (удар о руль) с болью в затылочно-шейной области и ограничением движений шеи. Цель сценария — провести диагностику травмы вер,Лабораторные исследования; Инструментальные исследования,"Перелом зубовидного отростка C2, тип II (по Anderson–D’Alonzo); Общий анализ крови; Коагулограмма (подготовка к возможной операции); Биохимический анализ крови"
tech2,1718,2026 Нейрохирургия 136. Нормотензивная гидроцефалия,Нейрохирургический клинический сценарий. Case 36. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,"Мужчина 74 лет обратился с классической триадой Хакима–Адамса: нарушение ходьбы, прогрессирующее снижение памяти и недержание мочи. Цель сценария — провести диф",Лабораторные исследования; Инструментальные исследования,Нормотензивная гидроцефалия; Общий анализ крови и биохимия; Уровень витамина B12 и функция щитовидной железы (исключение обратимых причин деменции); Серология на ВИЧ и боррелиоз (Лайм)
tech2,1717,2026 Нейрохирургия 135. Абсцесс головного мозга,Нейрохирургический клинический сценарий. Case 33. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,Мужчина 52 лет на фоне иммуносупрессии (приём глюкокортикоидов по поводу ревматоидного артрита) обратился с лихорадкой и нарастающим правосторонним гемипарезом.,Лабораторные исследования; Инструментальные исследования,Абсцесс головного мозга; Общий анализ крови (лейкоцитоз); СОЭ и C-реактивный белок; Посев крови (гемокультура)
tech2,1716,2026 Нейрохирургия 134. Анапластическая олигодендроглиома,Нейрохирургический клинический сценарий. Case 27. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,Мужчина 46 лет обратился после серии генерализованных судорожных приступов. Цель сценария — провести дифференциальную диагностику внутримозгового образования ло,Лабораторные исследования; Инструментальные исследования,"Анапластическая олигодендроглиома (WHO grade III); Общий анализ крови; Биохимический анализ крови (BMP), функция печени и почек; Коагулограмма (МНО) и общий анализ мочи"
tech2,1715,2026 Нейрохирургия 133. Краниофарингиома,Нейрохирургический клинический сценарий. Case 25. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,"Мальчик 12 лет обратился с головной болью, нарушением зрения и признаками несахарного диабета. Цель сценария — провести дифференциальную диагностику супраселляр",Лабораторные исследования; Инструментальные исследования,"Краниофарингиома; Электролиты крови (натрий) и оценка водного баланса; Гормоны гипофиза (пролактин, ТТГ, ФСГ, АКТГ, СТГ); Осмолярность крови и мочи (диагностика несахарного диабета)"
tech2,1714,2026 Нейрохирургия 132. Кистозная гемангиобластома мозжечка,Нейрохирургический клинический сценарий. Case 21. '100 Case Reviews in Neurosurgery'.,Нейрохирургия,23,23,,публичный,2026-06-02,Женщина 34 лет с болезнью Гиппеля–Линдау обратилась с нарастающей атаксией и головной болью в течение 4 месяцев. Цель сценария — провести дифференциальную диагн,Лабораторные исследования; Инструментальные исследования,Кистозная гемангиобластома мозжечка (на фоне болезни Гиппеля–Линдау); Общий анализ крови (возможна полицитемия); Коагулограмма; Оценка метаболитов катехоламинов (при подозрении на феохромоцитому в рамках vHL)
